round,energy_used_joules,pdr,throughput_kbps,dead_nodes
1,0.5996,0.8852,98.5595,0
2,0.3898,0.6468,44.6467,0
3,0.8171,0.8124,41.6468,1
4,0.4438,0.6545,54.6724,0
5,0.7438,0.7296,63.2983,0
6,0.3739,0.6876,69.3089,0
7,0.9938,0.6599,81.1388,0
8,0.2846,0.7823,53.6419,0
9,1.1509,0.8897,104.6718,0
10,0.3338,0.8053,75.2122,0
11,0.7154,0.6103,112.7456,0
12,0.876,0.6935,81.6054,0
13,0.4175,0.8909,102.0106,1
14,0.814,0.8766,47.0794,0
15,0.2834,0.6976,71.0942,0
16,1.0356,0.707,62.4748,0
17,0.3753,0.8407,45.9641,1
18,0.4308,0.6017,105.2369,0
19,0.9398,0.8314,45.9236,0
20,0.3512,0.8589,89.8639,0
21,0.301,0.6933,66.0147,0
22,0.8521,0.8662,77.7772,0
23,0.9247,0.8282,84.9022,0
24,0.714,0.7568,74.2033,0
25,0.3436,0.6094,90.9128,0
26,0.7282,0.8723,59.9434,0
27,0.9653,0.6686,46.1584,0
28,0.3948,0.8789,104.6496,0
29,1.0766,0.8411,54.9256,0
30,0.7578,0.8422,111.6873,0
31,0.3456,0.6684,74.1686,0
32,1.0663,0.6021,80.8598,0
33,0.4532,0.636,67.0092,1
34,0.738,0.8109,69.0904,2
35,0.7174,0.6903,62.7872,0
36,0.8252,0.7508,44.1183,0
37,1.1119,0.6719,51.5916,0
38,1.1862,0.6726,93.7708,0
39,0.4681,0.8185,69.4227,0
40,0.8482,0.7607,47.2232,0
41,0.5479,0.656,43.262,0
42,0.8905,0.605,80.9674,0
43,0.8594,0.6523,95.275,0
44,1.1393,0.6413,67.2853,0
45,1.1277,0.8632,60.6353,0
46,1.0245,0.7666,82.372,0
47,0.3294,0.8692,112.0334,0
48,0.5655,0.7048,98.0765,0
49,1.0916,0.834,91.3625,0
50,0.3952,0.8696,88.5143,0
