round,energy_used_joules,pdr,throughput_kbps,dead_nodes
1,0.2531,0.7991,40.4049,0
2,0.5751,0.8076,92.1569,0
3,0.6928,0.6712,66.032,0
4,0.6477,0.8548,92.609,0
5,0.2474,0.7103,61.2162,0
6,0.8806,0.7179,111.3637,0
7,0.7523,0.7508,86.1523,0
8,0.3206,0.8167,62.4618,0
9,0.6447,0.6531,115.2367,1
10,0.4465,0.6046,114.2655,0
11,0.876,0.8891,108.2408,0
12,0.4573,0.8553,65.3538,0
13,0.5809,0.8808,95.6824,0
14,0.25,0.7845,119.2043,0
15,0.5532,0.8632,99.2615,0
16,0.6858,0.7078,63.4873,0
17,0.7633,0.8601,113.0592,0
18,0.5411,0.8395,91.9971,0
19,0.753,0.867,67.0396,0
20,0.2477,0.7735,42.8754,0
21,0.5707,0.686,87.2667,0
22,0.2069,0.8468,68.8153,0
23,0.556,0.831,57.2657,0
24,0.2415,0.6155,82.5084,0
25,0.6389,0.8178,118.0682,0
26,0.4125,0.8386,61.6666,0
27,0.2365,0.6076,117.0119,0
28,0.6811,0.7227,53.8635,0
29,0.3602,0.7648,97.1677,0
30,0.3816,0.8865,99.0318,0
31,0.6204,0.7259,59.8185,0
32,0.7256,0.6043,49.2858,0
33,0.2093,0.8566,96.2926,0
34,0.2504,0.7475,77.8777,0
35,0.4924,0.7196,89.268,0
36,0.2126,0.7124,90.0688,0
37,0.7967,0.7976,53.0348,0
38,0.6425,0.608,86.862,1
39,0.4595,0.793,76.6602,0
40,0.8579,0.7158,116.8952,1
41,0.2299,0.6302,41.4577,0
42,0.6718,0.6214,65.5181,0
43,0.1968,0.8443,62.5484,0
44,0.6817,0.7887,110.1978,0
45,0.7585,0.6846,54.1952,0
46,0.7609,0.8972,73.0094,0
47,0.739,0.7022,114.4606,0
48,0.4889,0.8253,100.3634,0
49,0.8298,0.7516,106.1166,0
50,0.8248,0.7168,40.867,1
