round,energy_used_joules,pdr,throughput_kbps,dead_nodes
1,0.3871,0.885,116.0486,0
2,0.5996,0.7345,63.4569,0
3,0.6273,0.8257,103.3263,0
4,0.232,0.7483,44.6047,0
5,0.4702,0.8663,68.0732,0
6,0.2672,0.8285,89.4574,0
7,0.2272,0.8103,45.821,0
8,0.6502,0.6244,46.787,1
9,0.422,0.8438,115.7799,1
10,0.4259,0.6251,102.1718,0
11,0.4585,0.8719,48.8958,0
12,0.1777,0.7406,44.5043,0
13,0.2499,0.7948,99.6836,0
14,0.8243,0.7125,62.857,0
15,0.322,0.889,40.9724,1
16,0.776,0.7583,119.4372,0
17,0.5466,0.8908,81.8478,0
18,0.6431,0.7364,90.2046,0
19,0.7828,0.6136,62.4771,1
20,0.4798,0.786,62.1905,0
21,0.4853,0.706,86.6925,0
22,0.8326,0.8959,95.8529,0
23,0.3805,0.8441,94.7785,0
24,0.7894,0.8468,115.984,0
25,0.5871,0.7255,114.6183,0
26,0.2007,0.6079,70.1171,0
27,0.8413,0.6451,87.5305,0
28,0.8295,0.8526,107.0663,0
29,0.4521,0.682,44.51,0
30,0.7228,0.8999,119.7309,0
31,0.6929,0.8834,107.9718,0
32,0.4764,0.6387,116.3241,0
33,0.3255,0.8015,89.4503,0
34,0.2472,0.8015,81.6246,0
35,0.5237,0.8557,84.1525,0
36,0.7661,0.721,50.7212,0
37,0.6835,0.7861,96.3264,0
38,0.2627,0.6044,68.047,0
39,0.4367,0.7312,112.3327,0
40,0.5195,0.8351,71.7234,0
41,0.7564,0.8849,51.7659,1
42,0.3456,0.7377,118.4026,0
43,0.3936,0.79,59.2116,0
44,0.2576,0.6384,52.1522,0
45,0.6058,0.6546,67.6534,0
46,0.4923,0.8003,53.7856,0
47,0.1978,0.6507,62.2872,0
48,0.2303,0.6362,76.8623,0
49,0.4177,0.751,95.2316,0
50,0.7136,0.7884,46.5407,0
